# BEAST v10.5.0
# Generated Tue Aug 18 21:36:14 EEST 2026 [seed=1787078157934]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	age(SAMN36729068_SRR25438644)	treeLikelihood	branchRates	coalescent
20000	-5603534.70963558	-62.13488761425259	-5603472.574747966	140.28629092348984	1882.2137090765102	454.0255022628151	48.86347156166601	6.330108202829832	0.15935844167550275	0.3502394316705325	0.3349139902675864	0.1554881363863784	0.12764249461432714	3.550587854004837E-7	3.550587854004838E-7	0.0	-5603472.574747966	0.0	-60.212400790005255
21000	-5603549.519158652	-69.98302224515965	-5603479.5361364065	225.32198524838253	1797.1780147516174	760.6719099777282	75.39125716470467	5.832005685141637	0.15935844167550275	0.3502394316705325	0.3349139902675864	0.1554881363863784	0.2169743260052929	2.3062831808693455E-7	2.3062831808693463E-7	0.0	-5603479.5361364065	0.0	-68.0200101859942
22000	-5603541.368789918	-66.02997317993842	-5603475.338816738	179.3110134701374	1843.1889865298626	591.9203889394395	71.69630092030633	6.869843459056016	0.15935844167550275	0.3502394316705325	0.3349139902675864	0.1554881363863784	0.15382089965037551	2.8054838477103733E-7	2.8054838477103733E-7	0.0	-5603475.338816738	0.0	-63.771410724626236
23000	-5603538.935731582	-67.45819478190643	-5603471.4775368	194.99783366716818	1827.5021663328318	638.5539282398603	75.91932762358907	6.769652414787764	0.1594781570190414	0.3501197163269939	0.3349139902675864	0.1554881363863784	0.4991141797308668	2.777609330207468E-7	2.7776093302074677E-7	0.0	-5603471.4775368	0.0	-64.5138862795272
24000	-5603543.296320055	-71.53979079302384	-5603471.756529261	261.82027537934107	1760.6797246206588	877.4405045823366	142.90592216904133	5.243131705502741	0.1594781570190414	0.3501197163269939	0.3349139902675864	0.1554881363863784	0.202299557420312	1.941511392190326E-7	1.9415113921903267E-7	0.0	-5603471.756529261	0.0	-69.21207048831755
25000	-5603545.126301429	-70.29567346031813	-5603474.830627969	225.79440842759743	1796.7055915724027	754.9743329865297	129.99864189027957	5.424788379844503	0.1594781570190414	0.34975566624159243	0.33527804035298786	0.1554881363863784	0.46819030540305806	2.2266840193177747E-7	2.226684019317775E-7	0.0	-5603474.830627969	0.0	-67.35121208193046
26000	-5603561.504866147	-77.1017903380491	-5603484.40307581	349.19567733577423	1673.3043226642258	1189.5122196393304	130.15823616667555	5.8481804076125	0.15923878203116665	0.3499950412294672	0.33527804035298786	0.1554881363863784	0.8303422288085635	1.4756864744981508E-7	1.475686474498151E-7	0.0	-5603484.40307581	0.0	-73.7544419052755
27000	-5603547.72035642	-70.42661171368357	-5603477.293744706	218.30498281719645	1804.1950171828034	715.1404425164822	148.67204600240981	6.899783978678127	0.15927133633364526	0.34996248692698856	0.33527804035298786	0.1554881363863784	0.2313100255167263	2.4153518581300433E-7	2.415351858130043E-7	0.0	-5603477.293744706	0.0	-67.3699978512151
28000	-5603556.903207983	-73.76199459331254	-5603483.141213389	254.46946838274195	1768.030531617258	834.6090868946129	195.69299747634875	7.133652900157471	0.15927133633364526	0.34996248692698856	0.33531074024227336	0.1554554364970929	0.5840945627623623	2.1275997074317708E-7	2.1275997074317705E-7	0.0	-5603483.141213389	0.0	-69.76536327346136
29000	-5603547.969838645	-71.7495789480136	-5603476.220259697	266.41444794075386	1756.085552059246	877.6062017699381	143.88396653417792	5.921809744329353	0.15927133633364526	0.3503256157304554	0.3349476114388065	0.1554554364970929	0.345900170285639	1.8426568743889364E-7	1.842656874388937E-7	0.0	-5603476.220259697	0.0	-68.97545747216486
