# BEAST v10.5.0
# Generated Wed Aug 19 09:03:02 EEST 2026 [seed=1787118699297]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	age(SAMEA7472536_ERR4920658)	age(SAMEA6797401_ERR4056630)	age(SAMEA6797389_ERR4056585)	age(SAMEA6647237_ERR4028006)	treeLikelihood	branchRates	coalescent
23000	-9017156.979276659	-313.55583468216463	-9016843.423441976	46.189101165188674	1977.4656933553592	707.8057756285183	133.17976609981474	5.096004926128625	0.15584638154926073	0.35177023627141807	0.3325887826379353	0.15979459954138583	0.01621403709430765	1.9595388742799604E-4	1.9595388742799606E-4	5.935854371489979	8.652151041378417	6.950579207979005	8.64712049153359	-9016843.423441976	0.0	-308.0161513881186
24000	-9014885.408831479	-315.676391921013	-9014569.732439557	46.95722704574966	1976.6975674747982	728.128616519773	121.78361019739735	5.096004926128625	0.15574665789339784	0.351869959927281	0.3326623423704153	0.15972103980890578	0.008988792683655733	1.9359560577955168E-4	1.9359560577955176E-4	5.763215874521808	8.652151041378417	7.771061690156271	8.64712049153359	-9014569.732439557	0.0	-310.2698625987124
25000	-9013332.311865645	-316.8339226290006	-9013015.477943016	48.6029072420083	1975.0518872785397	748.07569125597	138.66368683754058	5.096004926128625	0.15574665789339784	0.351869959927281	0.3326623423704153	0.15972103980890578	0.009563624012469614	1.8603097507225824E-4	1.8603097507225827E-4	5.818271507149573	8.652151041378417	7.362714048296461	8.64712049153359	-9013015.477943016	0.0	-311.31492729690564
26000	-9010541.090911837	-318.69786320778746	-9010222.39304863	49.750272207716996	1973.904522312831	773.4055978203055	149.36241765536488	5.103939175675182	0.15574665789339784	0.351869959927281	0.3327866499475032	0.1595967322318179	0.014645781159150219	1.7477855244993245E-4	1.747785524499325E-4	5.798373396030591	8.652151041378417	7.710343765068035	8.64712049153359	-9010222.39304863	0.0	-313.1334096760287
27000	-9007478.347753096	-322.3226178226531	-9007156.025135273	52.54192254256941	1971.1128719779786	810.6547506637291	129.72307012877235	5.101296069903916	0.15574665789339784	0.351869959927281	0.3327866499475032	0.1595967322318179	0.02190621731841787	1.6916261971174597E-4	1.69162619711746E-4	5.716204330667053	8.652151041378417	6.52761603619743	8.64712049153359	-9007156.025135273	0.0	-316.94273346999876
28000	-9004638.048765492	-323.74040802457324	-9004314.308357468	52.69625376140887	1970.9585407591392	837.0031401919483	169.81589665699462	5.101296069903916	0.15574665789339784	0.351869959927281	0.3327866499475032	0.1595967322318179	0.02045408188201532	1.691073984178419E-4	1.69107398417842E-4	6.340661149037054	8.652151041378417	8.38020867372483	8.64712049153359	-9004314.308357468	0.0	-318.0660365757839
29000	-9001215.082005084	-325.32955246996755	-9000889.752452614	53.35690628631973	1970.2978882342281	860.79146061894	167.91597143228657	5.091918074118516	0.15574665789339784	0.351869959927281	0.3327866499475032	0.1595967322318179	0.02835180412933276	1.589432927107835E-4	1.5894329271078355E-4	7.077145837396129	8.652151041378417	7.293805078744559	8.64712049153359	-9000889.752452614	0.0	-319.7048376084441
30000	-9000048.750135306	-326.9944516387619	-8999721.755683668	53.82521489412461	1969.8295796264233	877.8496398992025	197.6945864420563	5.091918074118516	0.15581156692007764	0.35180505090060116	0.3327866499475032	0.1595967322318179	0.008237788833723633	1.5827631668761849E-4	1.5827631668761846E-4	7.077145837396129	8.652151041378417	8.630533462554258	8.64712049153359	-8999721.755683668	0.0	-321.2268781113514
31000	-8998217.92976355	-329.11298913636347	-8997888.816774413	56.30131263260538	1967.3534818879425	907.9050162941759	216.5114327937102	5.091918074118516	0.15581156692007764	0.3517397362730243	0.3327866499475032	0.15966204685939475	0.0071508855541668305	1.52389874536263E-4	1.5238987453626289E-4	7.10962084769826	8.652151041378417	8.51703009771986	8.64712049153359	-8997888.816774413	0.0	-323.2743130509052
32000	-8997133.18360498	-330.08419903320697	-8996803.099405946	56.83534489386144	1966.8194496266865	933.5905025152537	189.16282629628404	5.091918074118516	0.15581156692007764	0.3517397362730243	0.3327866499475032	0.15966204685939475	0.013276839888637275	1.4882042209101888E-4	1.4882042209101888E-4	7.10962084769826	8.652151041378417	7.987823283337467	8.64712049153359	-8996803.099405946	0.0	-324.42073799630987
