# BEAST v10.5.0
# Generated Sat Nov 08 09:18:28 EET 2025 [seed=1762586295819]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
210000	-8460633.62309621	-350.23235483977476	-8460283.39074137	33.54311811044247	1991.1317452775356	531.216298584296	100.49220846220506	26.696702960211287	0.16135782291002695	0.34033073298213823	0.33742937180189037	0.1608820723059446	0.004462843146773739	6.610871978711125E-5	48.30715878351259	4.697038345290112E-6	0.5634162219653319	0.07145575892978814	-8460283.39074137	0.0	-309.44695340707676
220000	-8460634.413702419	-359.302630333818	-8460275.111072086	34.741932716331135	1989.932930671647	546.7548587372742	81.24654079220211	27.233852585385065	0.1614754460065831	0.3403670079265933	0.3373117487053342	0.16084579736148952	0.03601944907009537	6.36161483552602E-5	48.67497381042988	4.520980408472414E-6	0.5536246639836261	-0.018330381224505952	-8460275.111072086	0.0	-311.38275411508954
230000	-8460614.659447797	-351.55951190689336	-8460263.09993589	34.54183183618831	1990.1330315517898	531.9998885841678	66.01852470357247	26.224616766421306	0.1614754460065831	0.3403670079265933	0.3371954096784908	0.16096213638833293	0.006979629298833832	5.9741705349511474E-5	44.864713690992716	4.6742886309675445E-6	0.5515831417893499	0.13886695845079672	-8460263.09993589	0.0	-310.21712151173404
240000	-8460622.145748438	-355.4060956812118	-8460266.739652757	36.47832569981392	1988.1965376881642	554.9796555002001	110.27875358695545	26.88275365027374	0.16144434203079502	0.34030065011511273	0.33736712321005574	0.16088788464403664	0.013221267706604244	5.2102575746608284E-5	40.52293912809247	4.4634230895425065E-6	0.5488959856607545	0.02410474863728663	-8460266.739652757	0.0	-312.57042941427954
250000	-8460636.134655109	-349.1109534074989	-8460287.023701701	36.05190372616303	1988.622959661815	539.8388885964416	91.1908106617727	27.522369586549477	0.16144434203079502	0.3399377702583989	0.3377300030667696	0.16088788464403664	0.016133989388448976	5.618960518453238E-5	40.50715458808495	4.617828792949719E-6	0.5171318281520646	0.07892176088892824	-8460287.023701701	0.0	-309.1032890314387
260000	-8460620.956041882	-331.91183002536576	-8460289.044211857	32.24748089183435	1992.4273824961438	512.3155203301479	87.23572523885412	25.540490365576694	0.16144434203079502	0.34034964762758885	0.33745863799140585	0.16074737235021044	0.013380368255206864	5.764080797272773E-5	39.43311985106623	4.891189585256315E-6	0.49866685714182163	0.16826901099954547	-8460289.044211857	0.0	-306.05934196252355
270000	-8460605.819567788	-336.5783189353798	-8460269.241248854	32.51933074057944	1992.1555326473988	518.5315982014654	94.60423911966946	26.57282904951128	0.16137483915087375	0.34034964762758885	0.3375281408713271	0.16074737235021044	0.040332697783037885	5.265247259461423E-5	36.3884557134871	4.793832149192074E-6	0.5110330564089957	0.052940114833924336	-8460269.241248854	0.0	-307.90266050725677
280000	-8460622.111994676	-328.5764718842801	-8460293.535522792	33.448081146969216	1991.226782241009	512.045946062588	84.92404759752424	25.912591057660595	0.16137483915087375	0.3403658975795877	0.3375281408713271	0.16073112239821158	0.043828261212713444	4.886682755520404E-5	33.467204512853336	4.876356888915963E-6	0.5170912016899787	0.15508870368194969	-8460293.535522792	0.0	-305.0267239379904
290000	-8460627.53442295	-331.9865942667063	-8460295.547828684	31.85388971026006	1992.820973677718	526.5592530285974	72.69158920313889	26.069761109788903	0.1611864878210556	0.33994919128114653	0.33794484716976825	0.16091947372802973	0.04104714247530856	4.7468068510216075E-5	34.08184787104913	4.727645159680577E-6	0.47160621847172995	0.047602628689759355	-8460295.547828684	0.0	-308.7194196670416
300000	-8460608.660712872	-323.5523226950015	-8460285.108390177	34.08105518442383	1990.5938082035543	529.0943473944275	97.39108508160096	26.44147839643474	0.16137260373088952	0.3401473526015809	0.3375632074015305	0.1609168362659992	0.03422355485211702	4.8293939086964936E-5	33.12793647280214	4.782052574020316E-6	0.484954449651358	0.19031366726103038	-8460285.108390177	0.0	-308.6299804494438
310000	-8460627.862767983	-322.7417505973005	-8460305.121017385	32.89612250828713	1991.778740879691	514.0951172808653	63.27471354329855	25.651987468350438	0.16141701383854737	0.3401473526015809	0.3375187972938727	0.1609168362659992	0.013330196670861548	5.1412708722456395E-5	36.30064727996915	4.875064637158625E-6	0.48227988567059793	0.07430830072544645	-8460305.121017385	0.0	-305.9931380068437
320000	-8460630.601416877	-333.4269926185262	-8460297.174424257	31.935105343700375	1992.7397580442778	524.0901077735775	93.73182835564712	26.683340538440437	0.16141701383854737	0.34005261721997493	0.3375187972938727	0.16101157164760518	0.013006137582018034	4.7318576027569566E-5	34.44650235498701	4.73268631521846E-6	0.5384097815507128	0.04663525674473778	-8460297.174424257	0.0	-308.5360510258082
330000	-8460625.580149617	-320.08369992698135	-8460305.49644969	32.21906122501533	1992.4558021629628	510.04125860492826	72.57967877461518	25.794519201747825	0.16127045360062223	0.34030983935883014	0.33753471487186854	0.16088499216867924	0.028358999029855253	4.7733005657035575E-5	30.786673700193237	4.995571888649327E-6	0.5011134216956259	0.08888252094044347	-8460305.49644969	0.0	-304.8590984893702
340000	-8460611.447728751	-327.4414394751319	-8460284.006289275	32.553830929749694	1992.1210324582285	520.9744763976535	73.7984128682098	27.70769637822743	0.16127045360062223	0.34031825008659944	0.33753471487186854	0.1608765814409099	0.018243376250014782	4.696113739380528E-5	32.83739918505471	4.7292616648358915E-6	0.4961807216466452	0.06427948167793986	-8460284.006289275	0.0	-307.0511416972201
350000	-8460626.993668256	-343.95970713015043	-8460283.033961127	32.43315675924453	1992.2417066287335	524.0399402480909	63.01180560783358	26.586782531018866	0.16127045360062223	0.34034182425759146	0.3375111407008765	0.1608765814409099	0.008952341768086158	4.619616066874042E-5	32.63771851817742	4.737434011526974E-6	0.5820743089098868	0.06634558782085212	-8460283.033961127	0.0	-309.8657120202272
360000	-8460644.236170074	-347.35415406899955	-8460296.882016005	32.66168668346308	1992.013176704515	529.6133500047463	69.7065386688956	25.933110150863136	0.1612386810116603	0.34043800263421176	0.33743233966404174	0.1608909766900863	0.005175346854999347	4.623025503064146E-5	31.720275598204733	4.726953045015644E-6	0.5177800889943536	0.026322177193082327	-8460296.882016005	0.0	-309.9861867104297
370000	-8460632.349925704	-334.4669423834057	-8460297.882983321	32.71425436203017	1991.9606090259479	525.4556678139776	101.76381246054792	26.68677345245394	0.16121545632954237	0.34043541165576713	0.33743586976535095	0.16091326224933963	0.026773495475116846	4.410582573515269E-5	33.3497535249496	4.675332591559266E-6	0.5075262630243328	0.01024190065869568	-8460297.882983321	0.0	-309.3000139330254
380000	-8460628.387453334	-350.0653465612059	-8460278.322106773	32.05350237336907	1992.621361014609	536.43732902707	89.24763021762449	26.523294275807338	0.16121545632954237	0.34043541165576713	0.33743586976535095	0.16091326224933963	0.04407250892801858	4.4368417438559196E-5	34.343358606322916	4.659076745653646E-6	0.4990864313267925	0.1261567614583573	-8460278.322106773	0.0	-310.55101216141344
390000	-8460637.875480514	-338.5489190953764	-8460299.32656142	31.54705543703654	1993.1278079509416	518.6514171742356	83.15470302010912	27.239596161530418	0.16138199631675926	0.3403862841065228	0.3374787063697698	0.16075301320694826	0.03526571775366292	4.637697212535933E-5	34.3352441085469	4.855333842588066E-6	0.5352788624660724	0.06383528839292839	-8460299.32656142	0.0	-306.8900224736813
400000	-8460614.832161644	-336.857827911301	-8460277.974333733	34.35250724199919	1990.322356145979	523.4715913562809	81.93847050364542	25.064225564150018	0.16139573588088377	0.3401166919798042	0.33773455893236387	0.16075301320694826	0.05211107535421742	4.897164121881963E-5	34.366142811177426	4.7216943082465265E-6	0.4709611607867825	0.08533602599240216	-8460277.974333733	0.0	-306.7716949553285
410000	-8460620.262165774	-318.8824194056429	-8460301.379746368	33.642625176336225	1991.032238211642	545.2112716327156	77.51352890287373	25.612782905913573	0.16139573588088377	0.33979439551852914	0.33773455893236387	0.16107530966822337	0.01123173733064091	4.856876437979785E-5	35.879306310458176	4.55319824020983E-6	0.4620954042121186	0.024868660404674756	-8460301.379746368	0.0	-311.58946188385505
420000	-8460617.096791297	-330.66902181509624	-8460286.427769482	34.682465367045964	1989.9923980209321	563.3844089508867	100.69625368662228	25.696255843466545	0.16125114611629687	0.33993898528311606	0.3377708808673396	0.16103898773324768	0.03435705914410738	5.061375488138486E-5	38.313946406293674	4.4683143911867075E-6	0.4539575344746778	0.23600700905332178	-8460286.427769482	0.0	-314.2540321411731
430000	-8460638.672125487	-339.1702027047863	-8460299.501922783	33.17857450010738	1991.4962888878708	540.523675680056	98.64297809540662	26.19579049196929	0.16125114611629687	0.3401166029837576	0.33782158472076274	0.16081066617918294	0.02165367953431837	4.8785378119986054E-5	35.106294439211226	4.635728209212581E-6	0.46144715797821023	0.1531109156875271	-8460299.501922783	0.0	-310.84912757849787
440000	-8460623.18769844	-333.11557119573007	-8460290.072127245	33.71930140349658	1990.9555619844816	541.0136351542347	95.67743791491634	25.40414079983718	0.16126546615347873	0.3399187573081887	0.33800511035914976	0.16081066617918294	0.026440494593711505	5.015222125737311E-5	35.75551337464716	4.609487174952971E-6	0.5485036661721936	0.09651125396510074	-8460290.072127245	0.0	-310.3421567287866
