# BEAST v10.5.0
# Generated Thu Oct 16 09:06:37 EEST 2025 [seed=1760594778263]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
400000	-8460663.669115942	-373.231729278758	-8460290.437386664	48.299243426126914	1976.3756199618513	712.5277735355709	85.87367204352823	25.141115663602832	0.1614072449347012	0.33989771056467283	0.3376644599443554	0.16103058455627065	0.022642641541375266	3.4646917350847804E-5	33.461234407435626	3.5109405077307038E-6	0.5763538142890514	0.3010480566569003	-8460290.437386664	0.0	-325.15146066454514
420000	-8460657.672955276	-368.96398113656176	-8460288.70897414	53.55167728140831	1971.1231861065698	763.4186143570527	118.40297176722856	26.07716212621763	0.16126806659548967	0.3399192688360885	0.33753050929786466	0.16128215527055725	0.002870172352306224	3.4639600140087994E-5	34.789880195951476	3.2731526522073194E-6	0.5774272267094331	0.13428145144365114	-8460288.70897414	0.0	-328.4618559749289
440000	-8460673.766291134	-376.38653521882816	-8460297.379755916	51.74428551691389	1972.9305778710643	739.052617855708	110.08400991050222	24.52343657212077	0.16160784005569406	0.3401826755012474	0.33752159401480075	0.1606878904282578	0.03372499583173063	3.488768140697795E-5	34.09779461637257	3.3741661512278726E-6	0.6050014581875675	0.15963457909555415	-8460297.379755916	0.0	-325.2326004161633
460000	-8460660.014744319	-368.73186418010744	-8460291.282880139	53.23036066227766	1971.4445027257004	735.5610675975266	125.9390841219618	25.85046661142996	0.16119888414519729	0.34044812541575	0.33765553188763775	0.16069745855141498	0.04375553032473291	3.498766387129219E-5	31.445286679209733	3.358031714031074E-6	0.5603591737188738	0.07418106137962298	-8460291.282880139	0.0	-325.91550770692425
480000	-8460647.79210203	-356.33996562534287	-8460291.452136405	56.1996035161216	1968.4752598718565	719.4885738431283	116.83244864885074	25.664636663415603	0.1613684494678953	0.34037848152026784	0.3375976827634892	0.16065538624834763	0.016030081913886194	3.480639877526402E-5	30.420172644235972	3.4768845940459853E-6	0.5223888066574968	0.242672450579404	-8460291.452136405	0.0	-322.6491347944238
500000	-8460655.310789138	-348.0251399460086	-8460307.285649192	55.84303376689482	1968.8318296210832	713.1059523229485	112.31941838327592	25.535258599964283	0.16119434679295103	0.34065513911851897	0.3373849082529475	0.16076560583558255	0.04237616626641804	3.544031697221004E-5	33.515226050107906	3.460299416960776E-6	0.5331605741610735	0.2680055117170935	-8460307.285649192	0.0	-321.3983828616432
520000	-8460664.085986393	-367.6850676323684	-8460296.40091876	52.84925841188004	1971.825604976098	732.2258171895345	104.70440050864129	26.343092461807657	0.1611361103576161	0.34054513954785565	0.3373849082529475	0.16093384184158083	0.04020804120731223	3.636354482538648E-5	36.082887773851205	3.3948572407955437E-6	0.5356786389909881	0.22341330352619918	-8460296.40091876	0.0	-325.5727501659663
540000	-8460658.345137754	-365.26675695833694	-8460293.078380795	48.243640388425824	1976.4312229995523	730.113118553458	89.67901923487123	25.216275657060343	0.16123443033436813	0.3403273634727793	0.33731481422511594	0.16112339196773673	0.006377901007136609	4.010858865356891E-5	37.93267479211121	3.403323546447024E-6	0.5102124481811854	0.23603516003495556	-8460293.078380795	0.0	-327.8365950859181
560000	-8460663.046772914	-349.00200316134396	-8460314.044769753	47.35225738819294	1977.322605999785	716.7073298926679	117.47921605295792	26.700446866950276	0.16094842958279448	0.3401796265163188	0.3379081203425145	0.16096382355837227	0.030796567245623435	3.634849445534345E-5	33.96810214796626	3.463132533488936E-6	0.534506920611567	0.22196519269711698	-8460314.044769753	0.0	-325.67021354793565
580000	-8460648.679278523	-361.96063115444366	-8460286.718647368	43.322631603104924	1981.3522317848733	682.9957755511866	106.58065873050566	25.273190853784	0.16159342780056066	0.3400187856802265	0.33747768507911036	0.1609101014401025	0.02636268418166058	3.52816027415091E-5	29.986746607261836	3.5741327397289393E-6	0.5389735395139086	0.2510201161416513	-8460286.718647368	0.0	-322.1290796956145
